Fecha;Ecopetrol;ISA;CORFI
28/04/20;2075;18500;25700
29/04/20;2070;18380;25700
30/04/20;2090;18200;25800
4/05/20;1960;17900;25220
5/05/20;1985;17600;25200
6/05/20;1950;17740;25340
7/05/20;1975;18580;25600
8/05/20;2040;17800;25800
11/05/20;2065;18100;25400
12/05/20;1995;18100;25120
13/05/20;1920;18000;25000
14/05/20;1930;18400;24540
15/05/20;1930;18200;24340
18/05/20;2050;18500;25140
19/05/20;1985;18480;24560
20/05/20;2030;18520;25000
21/05/20;2000;18400;25000
22/05/20;1970;18340;24800
25/05/20;1970;18340;24800
26/05/20;1990;18600;24720
27/05/20;2005;19140;25000
28/05/20;1990;19200;25960
29/05/20;1990;19600;26000
1/06/20;2005;19040;26700
2/06/20;2035;19200;27000
3/06/20;2160;19400;27500
4/06/20;2160;19300;26960
5/06/20;2345;19080;28000
8/06/20;2430;19100;27900
9/06/20;2400;19260;27940
10/06/20;2285;18720;28100
11/06/20;2060;19000;26200
12/06/20;2125;18820;26700
15/06/20;2125;18820;26700
16/06/20;2250;19140;27680
17/06/20;2145;18600;27500
18/06/20;2115;18680;27500
19/06/20;2140;18860;28500
22/06/20;2140;18860;28500
23/06/20;2155;18780;27980
24/06/20;2090;18800;27500
25/06/20;2095;18700;27600
26/06/20;2070;18700;27660
29/06/20;2070;18700;27660
30/06/20;2075;18800;27780
1/07/20;2060;18560;27800
2/07/20;2080;18800;27840
3/07/20;2100;18820;27700
6/07/20;2110;18880;26000
7/07/20;2060;19480;25920
8/07/20;2090;19900;26180
9/07/20;2035;19800;25960
10/07/20;2080;19700;25980
13/07/20;2100;19540;25780
14/07/20;2155;19700;25780
15/07/20;2150;19580;26200
16/07/20;2180;19580;26180
17/07/20;2220;19640;26100
20/07/20;2220;19640;26100
21/07/20;2245;19680;26200
22/07/20;2230;19640;26200
23/07/20;2225;19700;26000
24/07/20;2220;19800;25780
27/07/20;2245;19540;26000
28/07/20;2225;19380;25840
29/07/20;2250;19600;25880
30/07/20;2195;19400;26000
31/07/20;2080;19200;24900
3/08/20;2140;18980;25560
4/08/20;2195;19100;25800
5/08/20;2200;19200;25900
6/08/20;2170;19700;25920
7/08/20;2170;19700;25920
10/08/20;2190;19360;25040
11/08/20;2165;19480;25180
12/08/20;2225;19500;25100
13/08/20;2180;19900;25480
14/08/20;2200;20400;25420
17/08/20;2200;20400;25420
18/08/20;2220;21280;25420
19/08/20;2180;20340;25580
20/08/20;2165;20360;25760
21/08/20;2180;21000;25680
24/08/20;2225;21260;26500
25/08/20;2245;21400;27220
26/08/20;2195;21500;27200
27/08/20;2160;21960;26500
28/08/20;2175;21680;27000
31/08/20;2190;20940;27100
1/09/20;2210;22300;27360
2/09/20;2175;21860;27600
3/09/20;2165;21320;27500
4/09/20;2145;20860;27280
7/09/20;2140;21000;27380
8/09/20;2080;20800;27200
9/09/20;2080;20800;27300
10/09/20;2015;20600;27000
11/09/20;2025;20480;27000
14/09/20;2010;20100;26900
15/09/20;2045;20160;26720
16/09/20;2050;20020;26380
17/09/20;2065;20020;26600
18/09/20;2115;20240;26100
21/09/20;2020;20580;26440
22/09/20;2010;20300;26380
23/09/20;1985;20320;26280
24/09/20;1950;20460;26300
25/09/20;1920;20380;26560
28/09/20;1970;20240;26700
29/09/20;1920;20000;26560
30/09/20;1895;20380;26600
1/10/20;1875;20280;26480
2/10/20;1910;20000;26500
5/10/20;1910;19940;26400
6/10/20;1907;19900;26310
7/10/20;1911;21000;25870
8/10/20;1950;21100;25780
9/10/20;1938;21600;25810
12/10/20;1938;21600;25810
13/10/20;1900;21470;25880
14/10/20;1890;21700;25790
15/10/20;1879;21600;25780
16/10/20;1880;21600;25990
19/10/20;1872;21600;25620
20/10/20;1893;21620;26010
21/10/20;1842;21440;25730
22/10/20;1880;21400;26170
23/10/20;1860;21140;26170
26/10/20;1849;21550;26170
27/10/20;1830;21300;26200
28/10/20;1715;20600;26000
29/10/20;1747;20510;25990
30/10/20;1791;20860;26000
2/11/20;1791;20860;26000
3/11/20;1822;20730;25840
4/11/20;1870;20980;26400
5/11/20;1850;21100;26450
6/11/20;1833;21700;26270
9/11/20;1938;22800;26930
10/11/20;1982;23190;27500
11/11/20;2015;23000;28000
12/11/20;1974;22940;27980
13/11/20;2000;22520;27270
16/11/20;2000;22520;27270
17/11/20;2135;23000;27120
18/11/20;2124;23040;27150
19/11/20;2145;22700;27440
20/11/20;2153;22680;27900
23/11/20;2200;21700;28200
24/11/20;2242;22080;28560
25/11/20;2252;22200;28350
26/11/20;2210;22320;28580
27/11/20;2172;22600;28790
30/11/20;2081;22700;29000
1/12/20;2129;23000;29620
2/12/20;2145;22550;30710
3/12/20;2120;22920;31000
4/12/20;2213;23700;31300
7/12/20;2210;25420;31990
8/12/20;2210;25420;31990
9/12/20;2235;24940;31410
10/12/20;2305;24010;31000
11/12/20;2310;24490;31600
14/12/20;2287;25000;32300
15/12/20;2295;25160;32560
16/12/20;2359;24770;32800
17/12/20;2370;25300;32800
18/12/20;2326;24670;31620
21/12/20;2215;23400;31500
22/12/20;2240;24200;32480
23/12/20;2297;24620;32300
24/12/20;2287;25000;32390
28/12/20;2278;25400;31990
29/12/20;2289;25680;32320
30/12/20;2245;25700;32400
31/12/20;2245;25700;32400
4/01/21;2242;25300;32900
5/01/21;2292;26000;32600
6/01/21;2308;26550;32600
7/01/21;2373;28000;32130
8/01/21;2399;29000;32540
11/01/21;2399;29000;32540
12/01/21;2459;29250;32300
13/01/21;2438;29000;31770
14/01/21;2484;29000;32100
15/01/21;2420;28980;31880
18/01/21;2440;28700;31700
19/01/21;2450;29200;32250
20/01/21;2437;29100;32000
21/01/21;2408;28280;32490
22/01/21;2354;26000;32480
25/01/21;2324;24700;32450
26/01/21;2364;25000;32400
27/01/21;2230;24000;32400
28/01/21;2145;23990;32450
29/01/21;2030;23060;32220
1/02/21;2090;23440;32340
2/02/21;2091;23490;32200
3/02/21;2090;23130;32390
4/02/21;2135;23440;32350
5/02/21;2155;23640;32400
8/02/21;2200;23590;32300
9/02/21;2203;23710;32400
10/02/21;2195;23400;32760
11/02/21;2140;23400;32750
12/02/21;2150;23680;32790
15/02/21;2190;23500;32660
16/02/21;2210;23200;32600
17/02/21;2200;23200;32850
18/02/21;2156;23100;32500
19/02/21;2165;23000;32590
22/02/21;2233;22970;32590
23/02/21;2291;22620;32460
24/02/21;2309;23600;32600
25/02/21;2280;22820;32520
